Innings,Venue,Start_Date,End_Date,Team1,Team2,Team1_runs,Team1_wickets,Team2_runs,Team2_wickets,Target,Team1_played_Overs,Team2_played_Overs,Team1_Max_Overs,Team2_Max_Overs,Match_Result
18th match (D/N),Eden Gardens,21-April-2018,21-April-2018,KKR,KXIP,191,7,126,1,192,20,11.1,20,13,Kings XI won by 9 wickets (with 11 balls remaining) (D/L method)
19th match (N),Bengaluru,21-April-2018,21-April-2018,DC,RCB,174,5,176,4,175,20,18,20,20,RCB won by 6 wickets (with 12 balls remaining)
20th match (D/N),Hyderabad,22-April-2018,22-April-2018,CSK,SRH,182,3,178,6,183,20,20,20,20,CSK won by 4 runs
21st match (N),Jaipur,22-April-2018,22-April-2018,MI,RR,167,7,168,7,168,20,19.4,20,20,RR won by 3 wickets (with 2 balls remaining)
22nd match (N),Delhi,23-April-2018,23-April-2018,KXIP,DC,143,8,139,8,144,20,20,20,20,Kings XI won by 4 runs
23rd match (N),Wankhede,24-April-2018,24-April-2018,SRH,MI,118,10,87,10,119,18.4,18.5,20,20,SRH won by 31 runs
24th match (N),Bengaluru,25-April-2018,25-April-2018,RCB,CSK,205,8,207,5,206,20,19.4,20,20,CSK won by 5 wickets (with 2 balls remaining)
25th match (N),Hyderabad,26-April-2018,26-April-2018,SRH,KXIP,132,6,119,10,133,20,19.2,20,20,SRH won by 13 runs
26th match (N),Delhi,27-April-2018,27-April-2018,DC,KKR,219,4,164,9,220,20,20,20,20,Daredevils won by 55 runs
27th match (N),Pune,28-April-2018,28-April-2018,CSK,MI,169,5,170,2,170,20,19.4,20,20,MI won by 8 wickets (with 2 balls remaining)
28th match (D/N),Jaipur,29-April-2018,29-April-2018,SRH,RR,151,7,140,6,152,20,20,20,20,SRH won by 11 runs
29th match (N),Bengaluru,29-April-2018,29-April-2018,RCB,KKR,175,4,176,4,176,20,19.1,20,20,KKR won by 6 wickets (with 5 balls remaining)
30th match (N),Pune,30-April-2018,30-April-2018,CSK,DC,211,4,198,5,212,20,20,20,20,CSK won by 13 runs
31st match (N),Bengaluru,01-May-2018,01-May-2018,RCB,MI,167,7,153,7,168,20,20,20,20,RCB won by 14 runs
32nd match (N),Delhi,02-May-2018,02-May-2018,DC,RR,171,10,146,5,172,17.1,12,171,12,Daredevils won by 4 runs (D/L method)
33rd match (N),Eden Gardens,03-May-2018,03-May-2018,CSK,KKR,177,5,180,4,178,20,17.4,20,20,KKR won by 6 wickets (with 14 balls remaining)
34th match (N),Indore,04-May-2018,04-May-2018,KXIP,MI,174,6,176,4,175,20,19,20,20,MI won by 6 wickets (with 6 balls remaining)
35th match (D/N),Pune,05-May-2018,05-May-2018,RCB,CSK,127,9,128,4,128,20,18,20,20,CSK won by 6 wickets (with 12 balls remaining)
36th match (N),Hyderabad,05-May-2018,05-May-2018,DC,SRH,163,5,164,3,164,20,19.5,20,20,SRH won by 7 wickets (with 1 ball remaining)
37th match (D/N),Wankhede,06-May-2018,06-May-2018,MI,KKR,181,4,168,6,182,20,20,20,20,MI won by 13 runs
38th match (N),Indore,06-May-2018,06-May-2018,RR,KXIP,152,9,155,4,153,20,18.4,20,20,Kings XI won by 6 wickets (with 8 balls remaining)
39th match (N),Hyderabad,07-May-2018,07-May-2018,SRH,RCB,146,10,141,6,147,20,20,20,20,SRH won by 5 runs
40th match (N),Jaipur,08-May-2018,08-May-2018,RR,KXIP,158,8,143,7,159,20,20,20,20,RR won by 15 runs
41st match (N),Eden Gardens,09-May-2018,09-May-2018,MI,KKR,210,6,108,10,211,20,18.1,20,20,MI won by 102 runs
42nd match (N),Delhi,10-May-2018,10-May-2018,DC,SRH,187,5,191,1,188,20,18.5,20,20,SRH won by 9 wickets (with 7 balls remaining)
43rd match (N),Jaipur,11-May-2018,11-May-2018,CSK,RR,176,4,177,6,177,20,19.5,20,20,RR won by 4 wickets (with 1 ball remaining)
44th match (D/N),Indore,12-May-2018,12-May-2018,KKR,KXIP,245,6,214,8,246,20,20,20,20,KKR won by 31 runs
45th match (N),Delhi,12-May-2018,12-May-2018,DC,RCB,181,4,187,5,182,20,19,20,20,RCB won by 5 wickets (with 6 balls remaining)
46th match (D/N),Pune,13-May-2018,13-May-2018,SRH,CSK,179,4,180,2,180,20,19,20,20,CSK won by 8 wickets (with 6 balls remaining)
47th match (N),Wankhede,13-May-2018,13-May-2018,MI,RR,168,6,171,3,169,20,18,20,20,RR won by 7 wickets (with 12 balls remaining)
48th match (N),Indore,14-May-2018,14-May-2018,KXIP,RCB,88,10,92,0,89,15.1,8.1,20,20,RCB won by 10 wickets (with 71 balls remaining)
49th match (N),Eden Gardens,15-May-2018,15-May-2018,RR,KKR,142,10,145,4,143,19,18,20,20,KKR won by 6 wickets (with 12 balls remaining)
50th match (N),Wankhede,16-May-2018,16-May-2018,MI,KXIP,186,8,183,5,187,20,20,20,20,MI won by 3 runs
51st match (N),Bengaluru,17-May-2018,17-May-2018,RCB,SRH,218,6,204,3,219,20,20,20,20,RCB won by 14 runs
52nd match (N),Delhi,18-May-2018,18-May-2018,DC,CSK,162,5,128,6,163,20,20,20,20,Daredevils won by 34 runs
53rd match (D/N),Jaipur,19-May-2018,19-May-2018,RR,RCB,164,5,134,10,165,20,19.2,20,20,RR won by 30 runs
54th match (N),Hyderabad,19-May-2018,19-May-2018,SRH,KKR,172,9,173,5,173,20,19.4,20,20,KKR won by 5 wickets (with 2 balls remaining)
55th match (D/N),Delhi,20-May-2018,20-May-2018,DC,MI,174,4,163,10,175,20,19.3,20,20,Daredevils won by 11 runs
56th match (N),Pune,20-May-2018,20-May-2018,KXIP,CSK,153,10,159,5,154,19.4,19.1,20,20,CSK won by 5 wickets (with 5 balls remaining)
Qualifier 1 (N),Wankhede,22-May-2018,22-May-2018,SRH,CSK,139,7,140,8,140,20,19.1,20,20,CSK won by 2 wickets (with 5 balls remaining)
Eliminator (N),Eden Gardens,23-May-2018,23-May-2018,KKR,RR,169,7,144,4,170,20,20,20,20,KKR won by 25 runs
Qualifier 2 (N),Eden Gardens,25-May-2018,25-May-2018,SRH,KKR,174,7,160,9,175,20,20,20,20,SRH won by 14 runs
Final (N),Wankhede,27-May-2018,27-May-2018,SRH,CSK,178,6,181,2,179,20,18.3,20,20,CSK won by 8 wickets (with 9 balls remaining)
1st Match (N),Chennai,23-March-2019,23-March-2019,RCB,CSK,70,10,71,3,71,17.1,17.4,20,20,CSK won by 7 wickets (with 14 balls remaining)
2nd Match (D/N),Eden Gardens,24-March-2019,24-March-2019,SRH,KKR,181,3,183,4,182,20,19.4,20,20,KKR won by 6 wickets (with 2 balls remaining)
3rd Match (N),Wankhede,24-March-2019,24-March-2019,DC,MI,213,6,176,10,214,20,19.2,20,20,DC won by 37 runs
4th Match (N),Jaipur,25-March-2019,25-March-2019,KXIP,RR,184,4,170,9,185,20,20,20,20,Kings XI won by 14 runs
5th Match (N),Delhi,26-March-2019,26-March-2019,DC,CSK,147,6,150,4,148,20,19.4,20,20,CSK won by 6 wickets (with 2 balls remaining)
6th Match (N),Eden Gardens,27-March-2019,27-March-2019,KKR,KXIP,218,4,190,4,219,20,20,20,20,KKR won by 28 runs
7th Match (N),Bengaluru,28-March-2019,28-March-2019,MI,RCB,187,8,181,5,188,20,20,20,20,MI won by 6 runs
8th Match (N),Hyderabad,29-March-2019,29-March-2019,RR,SRH,198,2,201,5,199,20,19,20,20,SRH won by 5 wickets (with 6 balls remaining)
9th Match (D/N),Mohali,30-March-2019,30-March-2019,MI,KXIP,176,7,177,2,177,20,18.4,20,20,Kings XI won by 8 wickets (with 8 balls remaining)
10th Match (N),Delhi,30-March-2019,30-March-2019,KKR,DC,185,8,185,6,186,20,20,20,20,Match tied (DC won the one-over eliminator)
11th Match (D/N),Hyderabad,31-March-2019,31-March-2019,SRH,RCB,231,2,113,10,232,20,19.5,20,20,SRH won by 118 runs
12th Match (N),Chennai,31-March-2019,31-March-2019,CSK,RR,175,5,167,8,176,20,20,20,20,CSK won by 8 runs
13th Match (N),Mohali,01-April-2019,01-April-2019,KXIP,DC,166,9,152,10,167,20,19.2,20,20,Kings XI won by 14 runs
14th Match (N),Jaipur,02-April-2019,02-April-2019,RCB,RR,158,4,164,3,159,20,19.5,20,20,RR won by 7 wickets (with 1 ball remaining)
15th Match (N),Wankhede,03-April-2019,03-April-2019,MI,CSK,170,5,133,8,171,20,20,20,20,MI won by 37 runs
