Innings,Venue,Start_Date,End_Date,Team1,Team2,Team1_runs,Team1_wickets,Team2_runs,Team2_wickets,Target,Team1_played_Overs,Team2_played_Overs,Team1_Max_Overs,Team2_Max_Overs,Match_Result
31st match (D/N),Pune,24-April-2012,24-April-2012,PWI,DC,146,2,148,2,147,20,16,20,20,Daredevils won by 8 wickets (with 24 balls remaining)
33rd match (D/N),Mohali,25-April-2012,25-April-2012,KXIP,MI,168,3,171,6,169,20,19.5,20,20,MI won by 4 wickets (with 1 ball remaining)
35th match (N),Pune,26-April-2012,26-April-2012,DCH,PWI,177,4,159,7,178,20,20,20,20,Chargers won by 18 runs
36th match (N),Delhi,27-April-2012,27-April-2012,DC,MI,207,5,170,9,208,20,20,20,20,Daredevils won by 37 runs
37th match (D/N),Chennai,28-April-2012,28-April-2012,KXIP,CSK,156,8,149,8,157,20,20,20,20,Kings XI won by 7 runs
38th match (N),Eden Gardens,28-April-2012,28-April-2012,KKR,RCB,190,4,143,6,191,20,20,20,20,KKR won by 47 runs
39th match (D/N),Delhi,29-April-2012,29-April-2012,DC,RR,152,6,151,3,153,20,20,20,20,Daredevils won by 1 run
40th match (N),Wankhede,29-April-2012,29-April-2012,DCH,MI,100,10,101,5,101,18.4,18.1,20,20,MI won by 5 wickets (with 11 balls remaining)
41st match (N),Chennai,30-April-2012,30-April-2012,CSK,KKR,139,5,140,5,140,20,19.4,20,20,KKR won by 5 wickets (with 2 balls remaining)
42nd match (D/N),Cuttack,01-May-2012,01-May-2012,DCH,PWI,186,4,173,5,187,20,20,20,20,Chargers won by 13 runs
43rd match (N),Jaipur,01-May-2012,01-May-2012,RR,DC,141,6,144,4,142,20,15.2,20,20,Daredevils won by 6 wickets (with 28 balls remaining)
44th match (N),Bengaluru,02-May-2012,02-May-2012,RCB,KXIP,158,5,163,6,159,20,19.5,20,20,Kings XI won by 4 wickets (with 1 ball remaining)
45th match (N),Pune,03-May-2012,03-May-2012,MI,PWI,120,9,119,6,121,20,20,20,20,MI won by 1 run
46th match (N),Chennai,04-May-2012,04-May-2012,CSK,DCH,160,6,150,5,161,20,20,20,20,CSK won by 10 runs
47th match (D/N),Eden Gardens,05-May-2012,05-May-2012,KKR,PWI,150,5,143,8,151,20,20,20,20,KKR won by 7 runs
48th match (N),Mohali,05-May-2012,05-May-2012,RR,KXIP,177,6,134,8,178,20,20,20,20,RR won by 43 runs
49th match (D/N),Wankhede,06-May-2012,06-May-2012,CSK,MI,173,8,174,8,174,20,20,20,20,MI won by 2 wickets (with 0 balls remaining)
50th match (N),Bengaluru,06-May-2012,06-May-2012,DCH,RCB,181,2,185,5,182,20,18.5,20,20,RCB won by 5 wickets (with 7 balls remaining)
51st match (N),Delhi,07-May-2012,07-May-2012,DC,KKR,153,9,154,4,154,20,18.4,20,20,KKR won by 6 wickets (with 8 balls remaining)
52nd match (D/N),Pune,08-May-2012,08-May-2012,PWI,RR,125,6,126,3,126,20,16.2,20,20,RR won by 7 wickets (with 22 balls remaining)
53rd match (N),Hyderabad,08-May-2012,08-May-2012,KXIP,DCH,170,5,145,8,171,20,20,20,20,Kings XI won by 25 runs
54th match (N),Wankhede,09-May-2012,09-May-2012,MI,RCB,141,6,142,1,142,20,18,20,20,RCB won by 9 wickets (with 12 balls remaining)
55th match (D/N),Hyderabad,10-May-2012,10-May-2012,DCH,DC,187,4,193,1,188,20,16.4,20,20,Daredevils won by 9 wickets (with 20 balls remaining)
56th match (N),Jaipur,10-May-2012,10-May-2012,RR,CSK,126,6,127,6,127,20,18.1,20,20,CSK won by 4 wickets (with 11 balls remaining)
57th match (N),Pune,11-May-2012,11-May-2012,RCB,PWI,173,3,138,9,174,20,20,20,20,RCB won by 35 runs
58th match (D/N),Eden Gardens,12-May-2012,12-May-2012,MI,KKR,182,1,155,4,183,20,20,20,20,MI won by 27 runs
59th match (N),Chennai,12-May-2012,12-May-2012,DC,CSK,114,5,115,1,115,20,15.2,20,20,CSK won by 9 wickets (with 28 balls remaining)
60th match (D/N),Jaipur,13-May-2012,13-May-2012,RR,PWI,170,4,125,9,171,20,20,20,20,RR won by 45 runs
61st match (N),Mohali,13-May-2012,13-May-2012,DCH,KXIP,190,4,194,6,191,20,20,20,20,Kings XI won by 4 wickets (with 0 balls remaining)
62nd match (D/N),Bengaluru,14-May-2012,14-May-2012,RCB,MI,171,6,173,5,172,20,19.4,20,20,MI won by 5 wickets (with 2 balls remaining)
63rd match (N),Eden Gardens,14-May-2012,14-May-2012,KKR,CSK,158,6,160,5,159,20,20,20,20,CSK won by 5 wickets (with 0 balls remaining)
64th match (N),Delhi,15-May-2012,15-May-2012,KXIP,DC,136,8,140,5,137,20,19,20,20,Daredevils won by 5 wickets (with 6 balls remaining)
65th match (N),Wankhede,16-May-2012,16-May-2012,KKR,MI,140,7,108,10,141,20,19.1,20,20,KKR won by 32 runs
66th match (D/N),Dharamsala,17-May-2012,17-May-2012,CSK,KXIP,120,7,123,4,121,20,16.3,20,20,Kings XI won by 6 wickets (with 21 balls remaining)
67th match (N),Delhi,17-May-2012,17-May-2012,RCB,DC,215,1,194,9,216,20,20,20,20,RCB won by 21 runs
68th match (N),Hyderabad,18-May-2012,18-May-2012,RR,DCH,126,8,128,5,127,20,18.4,20,20,Chargers won by 5 wickets (with 8 balls remaining)
69th match (D/N),Dharamsala,19-May-2012,19-May-2012,KXIP,DC,141,8,145,4,142,20,18.2,20,20,Daredevils won by 6 wickets (with 10 balls remaining)
70th match (N),Pune,19-May-2012,19-May-2012,KKR,PWI,136,4,102,8,137,20,20,20,20,KKR won by 34 runs
71st match (D/N),Hyderabad,20-May-2012,20-May-2012,DCH,RCB,132,7,123,9,133,20,20,20,20,Chargers won by 9 runs
72nd match (N),Jaipur,20-May-2012,20-May-2012,RR,MI,162,6,163,0,163,20,18,20,20,MI won by 10 wickets (with 12 balls remaining)
1st Qualifying Match (N),Pune,22-May-2012,22-May-2012,KKR,DC,162,4,144,8,163,20,20,20,20,KKR won by 18 runs
Elimination Final (N),Bengaluru,23-May-2012,23-May-2012,CSK,MI,187,5,149,9,188,20,20,20,20,CSK won by 38 runs
2nd Qualifying Match (N),Chennai,25-May-2012,25-May-2012,CSK,DC,222,5,136,10,223,20,16.5,20,20,CSK won by 86 runs
Final (N),Chennai,27-May-2012,27-May-2012,CSK,KKR,190,3,192,5,191,20,19.4,20,20,KKR won by 5 wickets (with 2 balls remaining)
1st match (N),Eden Gardens,03-April-2013,03-April-2013,DC,KKR,128,10,129,4,129,20,18.4,20,20,KKR won by 6 wickets (with 8 balls remaining)
2nd match (N),Bengaluru,04-April-2013,04-April-2013,RCB,MI,156,5,154,5,157,20,20,20,20,RCB won by 2 runs
3rd match (N),Hyderabad,05-April-2013,05-April-2013,SRH,PWI,126,6,104,10,127,20,18.5,20,20,SRH won by 22 runs
4th match (D/N),Delhi,06-April-2013,06-April-2013,RR,DC,165,7,160,6,166,20,20,20,20,RR won by 5 runs
5th match (N),Chennai,06-April-2013,06-April-2013,MI,CSK,148,6,139,9,149,20,20,20,20,MI won by 9 runs
6th match (D/N),Pune,07-April-2013,07-April-2013,PWI,KXIP,99,9,100,2,100,20,12.2,20,20,Kings XI won by 8 wickets (with 46 balls remaining)
7th match (N),Hyderabad,07-April-2013,07-April-2013,RCB,SRH,130,8,130,7,131,20,20,20,20,Match tied (SRH won the one-over eliminator)
8th match (N),Jaipur,08-April-2013,08-April-2013,RR,KKR,144,6,125,10,145,20,19,20,20,RR won by 19 runs
9th match (D/N),Bengaluru,09-April-2013,09-April-2013,SRH,RCB,161,6,162,3,162,20,17.4,20,20,RCB won by 7 wickets (with 14 balls remaining)
10th match (N),Wankhede,09-April-2013,09-April-2013,MI,DC,209,5,165,9,210,20,20,20,20,MI won by 44 runs
11th match (N),Mohali,10-April-2013,10-April-2013,KXIP,CSK,138,10,139,0,139,19.5,17.2,20,20,CSK won by 10 wickets (with 16 balls remaining)
12th match (D/N),Bengaluru,11-April-2013,11-April-2013,KKR,RCB,154,8,158,2,155,20,17.3,20,20,RCB won by 8 wickets (with 15 balls remaining)
13th match (N),Pune,11-April-2013,11-April-2013,RR,PWI,145,5,148,3,146,20,18.4,20,20,Warriors won by 7 wickets (with 8 balls remaining)
14th match (N),Delhi,12-April-2013,12-April-2013,DC,SRH,114,8,115,7,115,20,19.2,20,20,SRH won by 3 wickets (with 4 balls remaining)
15th match (D/N),Wankhede,13-April-2013,13-April-2013,MI,PWI,183,3,142,8,184,20,20,20,20,MI won by 41 runs
16th match (N),Chennai,13-April-2013,13-April-2013,RCB,CSK,165,6,166,6,166,20,19.5,20,20,CSK won by 4 wickets (with 1 ball remaining)
17th match (D/N),Eden Gardens,14-April-2013,14-April-2013,KKR,SRH,180,4,132,7,181,20,20,20,20,KKR won by 48 runs
18th match (N),Jaipur,14-April-2013,14-April-2013,KXIP,RR,124,10,126,4,125,18.5,19.2,20,20,RR won by 6 wickets (with 4 balls remaining)
19th match (N),Chennai,15-April-2013,15-April-2013,PWI,CSK,159,5,135,8,160,20,20,20,20,Warriors won by 24 runs
20th match (D/N),Mohali,16-April-2013,16-April-2013,KXIP,KKR,157,9,153,9,158,20,20,20,20,Kings XI won by 4 runs
21st match (N),Bengaluru,16-April-2013,16-April-2013,DC,RCB,152,5,152,7,153,20,20,20,20,Match tied (RCB won the one-over eliminator)
22nd match (D/N),Pune,17-April-2013,17-April-2013,SRH,PWI,119,8,108,10,120,20,19,20,20,SRH won by 11 runs
23rd match (N),Jaipur,17-April-2013,17-April-2013,RR,MI,179,3,92,10,180,20,18.2,20,20,RR won by 87 runs
24th match (N),Delhi,18-April-2013,18-April-2013,CSK,DC,169,4,83,10,170,20,17.3,20,20,CSK won by 86 runs
25th match (N),Hyderabad,19-April-2013,19-April-2013,KXIP,SRH,123,9,127,5,124,20,18.5,20,20,SRH won by 5 wickets (with 7 balls remaining)
26th match (D/N),Eden Gardens,20-April-2013,20-April-2013,KKR,CSK,119,9,124,6,120,20,19.1,20,20,CSK won by 4 wickets (with 5 balls remaining)
27th match (N),Bengaluru,20-April-2013,20-April-2013,RR,RCB,117,10,123,3,118,19.4,17.5,20,20,RCB won by 7 wickets (with 13 balls remaining)
28th match (D/N),Delhi,21-April-2013,21-April-2013,MI,DC,161,4,165,1,162,20,17,20,20,Daredevils won by 9 wickets (with 18 balls remaining)
29th match (N),Mohali,21-April-2013,21-April-2013,PWI,KXIP,185,4,186,3,186,20,19.5,20,20,Kings XI won by 7 wickets (with 1 ball remaining)
30th match (N),Chennai,22-April-2013,22-April-2013,RR,CSK,185,4,186,5,186,20,19.5,20,20,CSK won by 5 wickets (with 1 ball remaining)
31st match (D/N),Bengaluru,23-April-2013,23-April-2013,RCB,PWI,263,5,133,9,264,20,20,20,20,RCB won by 130 runs
32nd match (N),Delhi,23-April-2013,23-April-2013,DC,KXIP,120,7,121,5,121,20,17,20,20,Kings XI won by 5 wickets (with 18 balls remaining)
33rd match (N),Eden Gardens,24-April-2013,24-April-2013,KKR,MI,159,6,162,5,160,20,19.5,20,20,MI won by 5 wickets (with 1 ball remaining)
34th match (N),Chennai,25-April-2013,25-April-2013,SRH,CSK,159,6,160,5,160,20,19.4,20,20,CSK won by 5 wickets (with 2 balls remaining)
35th match (N),Eden Gardens,26-April-2013,26-April-2013,KXIP,KKR,149,6,150,4,150,20,18.2,20,20,KKR won by 6 wickets (with 10 balls remaining)
36th match (D/N),Jaipur,27-April-2013,27-April-2013,SRH,RR,144,9,146,2,145,20,17.5,20,20,RR won by 8 wickets (with 13 balls remaining)
37th match (N),Wankhede,27-April-2013,27-April-2013,MI,RCB,194,7,136,7,195,20,20,20,20,MI won by 58 runs
38th match (D/N),Chennai,28-April-2013,28-April-2013,CSK,KKR,200,3,186,4,201,20,20,20,20,CSK won by 14 runs
39th match (N),Raipur,28-April-2013,28-April-2013,DC,PWI,164,5,149,4,165,20,20,20,20,Daredevils won by 15 runs
40th match (D/N),Jaipur,29-April-2013,29-April-2013,RCB,RR,171,6,173,6,172,20,19.5,20,20,RR won by 4 wickets (with 1 ball remaining)
41st match (N),Wankhede,29-April-2013,29-April-2013,MI,KXIP,174,3,170,10,175,20,20,20,20,MI won by 4 runs
42nd match (N),Pune,30-April-2013,30-April-2013,CSK,PWI,164,3,127,9,165,20,20,20,20,CSK won by 37 runs
43rd match (D/N),Hyderabad,01-May-2013,01-May-2013,MI,SRH,129,4,130,3,130,20,18,20,20,SRH won by 7 wickets (with 12 balls remaining)
44th match (N),Raipur,01-May-2013,01-May-2013,KKR,DC,136,7,137,3,137,20,17.5,20,20,Daredevils won by 7 wickets (with 13 balls remaining)
45th match (D/N),Chennai,02-May-2013,02-May-2013,CSK,KXIP,186,4,171,6,187,20,20,20,20,CSK won by 15 runs
46th match (N),Pune,02-May-2013,02-May-2013,RCB,PWI,187,3,170,9,188,20,20,20,20,RCB won by 17 runs
47th match (N),Eden Gardens,03-May-2013,03-May-2013,RR,KKR,132,6,133,2,133,20,17.2,20,20,KKR won by 8 wickets (with 16 balls remaining)
48th match (N),Hyderabad,04-May-2013,04-May-2013,DC,SRH,80,10,81,4,81,19.1,13.5,20,20,SRH won by 6 wickets (with 37 balls remaining)
49th match (D/N),Wankhede,05-May-2013,05-May-2013,MI,CSK,139,5,79,10,140,20,15.2,20,20,MI won by 60 runs
50th match (N),Jaipur,05-May-2013,05-May-2013,PWI,RR,178,4,182,5,179,20,19.5,20,20,RR won by 5 wickets (with 1 ball remaining)
51st match (N),Mohali,06-May-2013,06-May-2013,RCB,KXIP,190,3,194,4,191,20,18,20,20,Kings XI won by 6 wickets (with 12 balls remaining)
52nd match (D/N),Jaipur,07-May-2013,07-May-2013,DC,RR,154,4,155,1,155,20,17.5,20,20,RR won by 9 wickets (with 13 balls remaining)
53rd match (N),Wankhede,07-May-2013,07-May-2013,MI,KKR,170,6,105,10,171,20,18.2,20,20,MI won by 65 runs
54th match (N),Hyderabad,08-May-2013,08-May-2013,CSK,SRH,223,3,146,8,224,20,20,20,20,CSK won by 77 runs
55th match (D/N),Mohali,09-May-2013,09-May-2013,KXIP,RR,145,6,147,2,146,20,19,20,20,RR won by 8 wickets (with 6 balls remaining)
56th match (N),Pune,09-May-2013,09-May-2013,KKR,PWI,152,6,106,10,153,20,19.3,20,20,KKR won by 46 runs
57th match (N),Delhi,10-May-2013,10-May-2013,RCB,DC,183,4,179,7,184,20,20,20,20,RCB won by 4 runs
58th match (D/N),Pune,11-May-2013,11-May-2013,PWI,MI,112,8,116,5,113,20,18.5,20,20,MI won by 5 wickets (with 7 balls remaining)
59th match (N),Mohali,11-May-2013,11-May-2013,SRH,KXIP,150,7,120,9,151,20,20,20,20,SRH won by 30 runs
60th match (D/N),Ranchi,12-May-2013,12-May-2013,RCB,KKR,115,9,116,5,116,20,19.2,20,20,KKR won by 5 wickets (with 4 balls remaining)
61st match (N),Jaipur,12-May-2013,12-May-2013,CSK,RR,141,4,144,5,142,20,17.1,20,20,RR won by 5 wickets (with 17 balls remaining)
62nd match (N),Wankhede,13-May-2013,13-May-2013,SRH,MI,178,3,184,3,179,20,19.3,20,20,MI won by 7 wickets (with 3 balls remaining)
63rd match (D/N),Bengaluru,14-May-2013,14-May-2013,RCB,KXIP,174,5,176,3,175,20,18.1,20,20,Kings XI won by 7 wickets (with 11 balls remaining)
64th match (N),Chennai,14-May-2013,14-May-2013,CSK,DC,168,4,135,9,169,20,20,20,20,CSK won by 33 runs
65th match (D/N),Ranchi,15-May-2013,15-May-2013,PWI,KKR,170,4,163,7,171,20,20,20,20,Warriors won by 7 runs
66th match (N),Wankhede,15-May-2013,15-May-2013,MI,RR,166,8,152,7,167,20,20,20,20,MI won by 14 runs
67th match (N),Dharamsala,16-May-2013,16-May-2013,KXIP,DC,171,4,164,7,172,20,20,20,20,Kings XI won by 7 runs
68th match (N),Hyderabad,17-May-2013,17-May-2013,SRH,RR,136,9,113,9,137,20,20,20,20,SRH won by 23 runs
69th match (D/N),Dharamsala,18-May-2013,18-May-2013,KXIP,MI,183,8,133,10,184,20,19.1,20,20,Kings XI won by 50 runs
70th match (N),Bengaluru,18-May-2013,18-May-2013,RCB,CSK,8,10,82,6,9,8,8,8,8,RCB won by 24 runs
71st match (D/N),Pune,19-May-2013,19-May-2013,PWI,DC,172,5,134,9,173,20,20,20,20,Warriors won by 38 runs
72nd match (N),Hyderabad,19-May-2013,19-May-2013,KKR,SRH,130,7,132,5,131,20,18.5,20,20,SRH won by 5 wickets (with 7 balls remaining)
Qualifier 1 (N),Delhi,21-May-2013,21-May-2013,CSK,MI,192,1,144,10,193,20,18.4,20,20,CSK won by 48 runs
Eliminator (N),Delhi,22-May-2013,22-May-2013,SRH,RR,132,7,135,6,133,20,19.2,20,20,RR won by 4 wickets (with 4 balls remaining)
Qualifier 2 (N),Eden Gardens,24-May-2013,24-May-2013,RR,MI,165,6,169,6,166,20,19.5,20,20,MI won by 4 wickets (with 1 ball remaining)
Final (N),Eden Gardens,26-May-2013,26-May-2013,MI,CSK,148,9,125,9,149,20,20,20,20,MI won by 23 runs
1st match (N),Abu Dhabi,16-April-2014,16-April-2014,KKR,MI,163,5,122,7,164,20,20,20,20,KKR won by 41 runs
2nd match (N),Sharjah,17-April-2014,17-April-2014,DC,RCB,145,4,146,2,146,20,16.4,20,20,RCB won by 8 wickets (with 20 balls remaining)
3rd match,Abu Dhabi,18-April-2014,18-April-2014,CSK,KXIP,205,4,206,4,206,20,18.5,20,20,Kings XI won by 6 wickets (with 7 balls remaining)
4th match (N),Abu Dhabi,18-April-2014,18-April-2014,SRH,RR,133,6,135,6,134,20,19.3,20,20,RR won by 4 wickets (with 3 balls remaining)
5th match,Dubai (DICS),19-April-2014,19-April-2014,MI,RCB,115,9,116,3,116,20,17.3,20,20,RCB won by 7 wickets (with 15 balls remaining)
6th match (N),Dubai (DICS),19-April-2014,19-April-2014,KKR,DC,166,5,167,6,167,20,19.3,20,20,Daredevils won by 4 wickets (with 3 balls remaining)
7th match (N),Sharjah,20-April-2014,20-April-2014,RR,KXIP,191,5,193,3,192,20,18.4,20,20,Kings XI won by 7 wickets (with 8 balls remaining)
8th match (N),Abu Dhabi,21-April-2014,21-April-2014,CSK,DC,177,7,84,10,178,20,15.4,20,20,CSK won by 93 runs
9th match (N),Sharjah,22-April-2014,22-April-2014,KXIP,SRH,193,6,121,10,194,20,19.2,20,20,Kings XI won by 72 runs
10th match (N),Dubai (DICS),23-April-2014,23-April-2014,CSK,RR,140,6,133,10,141,20,19.5,20,20,CSK won by 7 runs
11th match (N),Sharjah,24-April-2014,24-April-2014,KKR,RCB,150,7,148,5,151,20,20,20,20,KKR won by 2 runs
12th match,Dubai (DICS),25-April-2014,25-April-2014,SRH,DC,184,1,180,4,185,20,20,20,20,SRH won by 4 runs
13th match (N),Dubai (DICS),25-April-2014,25-April-2014,MI,CSK,141,7,142,3,142,20,19,20,20,CSK won by 7 wickets (with 6 balls remaining)
14th match,Abu Dhabi,26-April-2014,26-April-2014,RCB,RR,70,10,71,4,71,15,13,20,20,RR won by 6 wickets (with 42 balls remaining)
15th match (N),Abu Dhabi,26-April-2014,26-April-2014,KXIP,KKR,132,9,109,10,133,20,18.2,20,20,Kings XI won by 23 runs
16th match,Sharjah,27-April-2014,27-April-2014,MI,DC,125,6,126,4,126,20,18.5,20,20,Daredevils won by 6 wickets (with 7 balls remaining)
17th match (N),Sharjah,27-April-2014,27-April-2014,SRH,CSK,145,5,146,5,146,20,19.3,20,20,CSK won by 5 wickets (with 3 balls remaining)
18th match (N),Dubai (DICS),28-April-2014,28-April-2014,RCB,KXIP,124,8,127,5,125,20,18.5,20,20,Kings XI won by 5 wickets (with 7 balls remaining)
19th match (N),Abu Dhabi,29-April-2014,29-April-2014,RR,KKR,152,5,152,8,153,20,20,20,20,Match tied (RR won the one-over eliminator)
20th match (N),Dubai (DICS),30-April-2014,30-April-2014,SRH,MI,172,5,157,7,173,20,20,20,20,SRH won by 15 runs
21st match (N),Ranchi,02-May-2014,02-May-2014,CSK,KKR,17,10,114,9,18,17,17,17,17,CSK won by 34 runs
22nd match (D/N),Wankhede,03-May-2014,03-May-2014,KXIP,MI,168,5,170,5,169,20,19.1,20,20,MI won by 5 wickets (with 5 balls remaining)
23rd match (N),Delhi,03-May-2014,03-May-2014,DC,RR,152,5,156,3,153,20,18.3,20,20,RR won by 7 wickets (with 9 balls remaining)
24th match (N),Bengaluru,04-May-2014,04-May-2014,SRH,RCB,155,6,158,6,156,20,19.5,20,20,RCB won by 4 wickets (with 1 ball remaining)
25th match (D/N),Ahmedabad,05-May-2014,05-May-2014,RR,KKR,170,6,160,6,171,20,20,20,20,RR won by 10 runs
26th match (N),Delhi,05-May-2014,05-May-2014,DC,CSK,178,5,181,2,179,20,19.4,20,20,CSK won by 8 wickets (with 2 balls remaining)
27th match (N),Wankhede,06-May-2014,06-May-2014,MI,RCB,187,5,168,8,188,20,20,20,20,MI won by 19 runs
28th match (D/N),Delhi,07-May-2014,07-May-2014,DC,KKR,160,5,161,2,161,20,18.2,20,20,KKR won by 8 wickets (with 10 balls remaining)
29th match (N),Cuttack,07-May-2014,07-May-2014,KXIP,CSK,231,4,187,6,232,20,20,20,20,Kings XI won by 44 runs
30th match (N),Ahmedabad,08-May-2014,08-May-2014,SRH,RR,134,9,102,10,135,20,19.5,20,20,SRH won by 32 runs
31st match (N),Bengaluru,09-May-2014,09-May-2014,KXIP,RCB,198,8,166,9,199,20,20,20,20,Kings XI won by 32 runs
32nd match (D/N),Delhi,10-May-2014,10-May-2014,DC,SRH,143,7,44,2,144,20,4.2,20,5,SRH won by 8 wickets (with 4 balls remaining) (D/L method)
33rd match (N),Wankhede,10-May-2014,10-May-2014,MI,CSK,157,6,160,6,158,20,19.3,20,20,CSK won by 4 wickets (with 3 balls remaining)
34th match (D/N),Cuttack,11-May-2014,11-May-2014,KXIP,KKR,149,8,150,1,150,20,18,20,20,KKR won by 9 wickets (with 12 balls remaining)
35th match (N),Bengaluru,11-May-2014,11-May-2014,RCB,RR,190,5,191,5,191,20,18.5,20,20,RR won by 5 wickets (with 7 balls remaining)
36th match (N),Hyderabad,12-May-2014,12-May-2014,SRH,MI,157,3,160,3,158,20,18.4,20,20,MI won by 7 wickets (with 8 balls remaining)
37th match (D/N),Ranchi,13-May-2014,13-May-2014,RR,CSK,148,8,149,5,149,20,19.4,20,20,CSK won by 5 wickets (with 2 balls remaining)
38th match (N),Bengaluru,13-May-2014,13-May-2014,RCB,DC,186,4,170,7,187,20,20,20,20,RCB won by 16 runs
39th match (D/N),Hyderabad,14-May-2014,14-May-2014,SRH,KXIP,205,5,211,4,206,20,18.4,20,20,Kings XI won by 6 wickets (with 8 balls remaining)
40th match (N),Cuttack,14-May-2014,14-May-2014,MI,KKR,141,5,142,4,142,20,18.4,20,20,KKR won by 6 wickets (with 8 balls remaining)
41st match (N),Ahmedabad,15-May-2014,15-May-2014,RR,DC,201,6,139,9,202,20,20,20,20,RR won by 62 runs
42nd match (D/N),Ranchi,18-May-2014,18-May-2014,CSK,RCB,138,4,142,5,139,20,19.5,20,20,RCB won by 5 wickets (with 1 ball remaining)
43rd match (N),Hyderabad,18-May-2014,18-May-2014,SRH,KKR,142,8,146,3,143,20,19.4,20,20,KKR won by 7 wickets (with 2 balls remaining)
44th match (D/N),Ahmedabad,19-May-2014,19-May-2014,MI,RR,178,3,153,8,179,20,20,20,20,MI won by 25 runs
45th match (N),Delhi,19-May-2014,19-May-2014,DC,KXIP,164,7,165,6,165,20,19.4,20,20,Kings XI won by 4 wickets (with 2 balls remaining)
46th match (D/N),Hyderabad,20-May-2014,20-May-2014,RCB,SRH,160,6,161,3,161,20,19.4,20,20,SRH won by 7 wickets (with 2 balls remaining)
47th match (N),Eden Gardens,20-May-2014,20-May-2014,CSK,KKR,154,4,156,2,155,20,18,20,20,KKR won by 8 wickets (with 12 balls remaining)
48th match (N),Mohali,21-May-2014,21-May-2014,KXIP,MI,156,8,159,3,157,20,19,20,20,MI won by 7 wickets (with 6 balls remaining)
49th match (D/N),Eden Gardens,22-May-2014,22-May-2014,KKR,RCB,195,4,165,5,196,20,20,20,20,KKR won by 30 runs
50th match (N),Ranchi,22-May-2014,22-May-2014,CSK,SRH,185,3,189,4,186,20,19.4,20,20,SRH won by 6 wickets (with 2 balls remaining)
51st match (D/N),Wankhede,23-May-2014,23-May-2014,MI,DC,173,10,158,4,174,19.3,20,20,20,MI won by 15 runs
52nd match (N),Mohali,23-May-2014,23-May-2014,KXIP,RR,179,4,163,8,180,20,20,20,20,Kings XI won by 16 runs
53rd match (D/N),Bengaluru,24-May-2014,24-May-2014,RCB,CSK,154,6,160,2,155,20,17.4,20,20,CSK won by 8 wickets (with 14 balls remaining)
54th match (N),Eden Gardens,24-May-2014,24-May-2014,SRH,KKR,160,7,161,6,161,20,14.2,20,20,KKR won by 4 wickets (with 34 balls remaining)
55th match (D/N),Mohali,25-May-2014,25-May-2014,DC,KXIP,115,10,119,3,116,18.1,13.5,20,20,Kings XI won by 7 wickets (with 37 balls remaining)
56th match (N),Wankhede,25-May-2014,25-May-2014,RR,MI,189,4,195,5,190,20,14.4,20,20,MI won by 5 wickets (with 32 balls remaining)
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,KKR,KXIP,163,8,135,8,164,20,20,20,20,KKR won by 28 runs
Eliminator (N),Brabourne,28-May-2014,28-May-2014,MI,CSK,173,8,176,3,174,20,18.4,20,20,CSK won by 7 wickets (with 8 balls remaining)
Qualifier 2 (N),Wankhede,30-May-2014,30-May-2014,KXIP,CSK,226,6,202,7,227,20,20,20,20,Kings XI won by 24 runs
Final (N),Bengaluru,01-June-2014,01-June-2014,KXIP,KKR,199,4,200,7,200,20,19.3,20,20,KKR won by 3 wickets (with 3 balls remaining)
1st match (N),Eden Gardens,08-April-2015,08-April-2015,MI,KKR,168,3,170,3,169,20,18.3,20,20,KKR won by 7 wickets (with 9 balls remaining)
2nd match (N),Chennai,09-April-2015,09-April-2015,CSK,DC,150,7,149,9,151,20,20,20,20,CSK won by 1 run
3rd match (N),Pune,10-April-2015,10-April-2015,RR,KXIP,162,7,136,8,163,20,20,20,20,RR won by 26 runs
4th match (D/N),Chennai,11-April-2015,11-April-2015,CSK,SRH,209,4,164,6,210,20,20,20,20,CSK won by 45 runs
5th match (N),Eden Gardens,11-April-2015,11-April-2015,KKR,RCB,177,6,179,7,178,20,19,20,20,RCB won by 3 wickets (with 6 balls remaining)
6th match (D/N),Delhi,12-April-2015,12-April-2015,DC,RR,184,3,186,7,185,20,20,20,20,RR won by 3 wickets (with 0 balls remaining)
7th match (N),Wankhede,12-April-2015,12-April-2015,KXIP,MI,177,5,159,7,178,20,20,20,20,Kings XI won by 18 runs
8th match (N),Bengaluru,13-April-2015,13-April-2015,RCB,SRH,166,10,172,2,167,19.5,17.2,20,20,SRH won by 8 wickets (with 16 balls remaining)
9th match (N),Ahmedabad,14-April-2015,14-April-2015,MI,RR,164,5,165,3,165,20,19.1,20,20,RR won by 7 wickets (with 5 balls remaining)
10th match (N),Pune,15-April-2015,15-April-2015,KXIP,DC,165,7,169,5,166,20,19.5,20,20,Daredevils won by 5 wickets (with 1 ball remaining)
11th match (N),Visakhapatnam,16-April-2015,16-April-2015,SRH,RR,127,5,131,4,128,20,20,20,20,RR won by 6 wickets (with 0 balls remaining)
12th match (N),Wankhede,17-April-2015,17-April-2015,MI,CSK,183,7,189,4,184,20,16.4,20,20,CSK won by 6 wickets (with 20 balls remaining)
13th match (D/N),Visakhapatnam,18-April-2015,18-April-2015,DC,SRH,167,4,163,8,168,20,20,20,20,Daredevils won by 4 runs
